C0mpC0de000007340|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
C0mpC0de000007341|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#
C0mpC0de000007342|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
C0mpC0de000007343|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
C0mpC0de0000073449|Nomor Aplikasi TIDAK VALID#NIK Must not end with 0000#
C0mpC0de00000734|Nomor Aplikasi TIDAK VALID#NIK Must not end with 0000#
|Nomor Aplikasi HARUS DIISI#NIK Must not end with 0000#
L0000020000007344|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007345|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#Nama Debitur HARUS DIISI#NIK Must not end with 0000#
L0000010000007346|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#Nama Debitur TIDAK VALID#NIK Must not end with 0000#
L0000010000007347|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#Nama Debitur TIDAK VALID#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#Jenis Debitur TIDAK VALID#NIK Must not end with 0000#
L0000010000007349|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#Jenis Debitur HARUS DIISI#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#Gender HARUS DIISI#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Not 16#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Not 16#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat Kelurahan HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat Kelurahan TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat Kelurahan TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat Kecamatan HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat Kecamatan TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat Kecamatan TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat KodePos HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat KodePos TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat KodePos TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat KodePos TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat KodeDATI II HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat KodeDATI II TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat KodeDATI II TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Alamat KodeDATI II TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Province HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Province TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#No Telepon HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#No Telepon TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#No Telepon TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Mobile Phone Number HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Email HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Email TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Place Of Birth HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Tanggal lahir debitur HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Last Education Code TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Employer HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Employer Address HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Mother Maiden Name HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Religion HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Penghasilan Kotor per Bulan HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Penghasilan Kotor per Bulan TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Marital Status HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nama Pasangan TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Format Tanggal Lahir Pasangan Harus DDMMYYYY#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Format Tanggal Lahir Pasangan Harus DDMMYYYY#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Perjanjian Pisah Harta TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#No Akte HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#No Akte TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tanggal Berdiri HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Format Tanggal Berdiri Harus DDMMYYYY#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tanggal Berdiri TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#No Akte Terakhir HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tanggal Akte Terakhir HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Format Tanggal Akte Terakhir Harus DDMMYYYY#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tanggal Akte Terakhir TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Bidang Usaha HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Bidang Usaha TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Jangka Waktu HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Jangka Waktu TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Jangka Waktu TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Jangka Waktu TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Jenis Kredit HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Jenis Kredit TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Plafon HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Plafon TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Interest Rate HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Interest Rate TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Interest Rate TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Interest Rate TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor PK HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tanggal Akad HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Format Tanggal Akad Harus DDMMYYYY#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tanggal Akad TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tanggal Angsuran I HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Format Tanggal Angsuran I Harus DDMMYYYY#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tanggal Angsuran I TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Jenis Penggunaan HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Sektor Ekonomi HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Sektor Ekonomi TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Omzet HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Omzet TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Omzet TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Go Public HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#X TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Sandi Golongan Debitur HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Sandi Golongan Debitur TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Nomor NPWP TIDAK VALID#Penghasilan Kotor per Tahun HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Penghasilan Kotor per Tahun TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Bentuk Badan Usaha HARUS DIISI untuk Debitur Badan#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Bentuk Badan Usaha TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Tempat berdiri badan usaha HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Original Loan Amount HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Original Loan Amount TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Original Loan Amount TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Disbursement Date HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Disbursement Date TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#tenor HARUS DIISI#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#tenor TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#tenor TIDAK VALID#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#tenor TIDAK VALID#
L0000010000007340|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Segmentasi Debitur HARUS DIISI#
L0000010000007341|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007342|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007343|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007344|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Debtor Category HARUS DIISI#
L0000010000007345|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Debtor Category TIDAK VALID#
L0000010000007346|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007347|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
L0000010000007348|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#Jumlah Tanggungan TIDAK VALID#
L0000010000007349|Nomor Aplikasi Company Code pada File Name berbeda dengan Isi File#NIK Must not end with 0000#
